Time (s),Speed (km/h),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
330,17.5,-0.8333333333333333,4.861111111111111,2319.7499999999995
331,16.9,-0.16666666666666705,4.694444444444444,2324.444444444444
332,16.7,-0.05555555555555536,4.638888888888888,2329.0833333333326
333,15.9,-0.22222222222222193,4.416666666666667,2333.499999999999
334,15.6,-0.08333333333333352,4.333333333333333,2337.8333333333326
335,15.0,-0.16666666666666657,4.166666666666667,2341.999999999999
336,14.5,-0.1388888888888889,4.027777777777778,2346.027777777777
337,14.3,-0.05555555555555536,3.9722222222222223,2349.999999999999
338,14.5,0.05555555555555536,4.027777777777778,2354.027777777777
339,15.4,0.2500000000000001,4.277777777777778,2358.3055555555547
340,17.8,0.6666666666666667,4.944444444444445,2363.249999999999
341,21.1,0.9166666666666669,5.861111111111112,2369.1111111111104
342,24.1,0.8333333333333333,6.694444444444445,2375.8055555555547
343,25.0,0.2499999999999996,6.944444444444445,2382.749999999999
344,25.3,0.08333333333333352,7.027777777777778,2389.777777777777
345,25.5,0.05555555555555536,7.083333333333333,2396.8611111111104
346,26.4,0.2499999999999996,7.333333333333333,2404.194444444444
347,26.6,0.055555555555556344,7.388888888888889,2411.5833333333326
348,27.1,0.1388888888888889,7.527777777777778,2419.1111111111104
349,27.7,0.16666666666666607,7.694444444444444,2426.8055555555547
350,28.1,0.1111111111111117,7.805555555555555,2434.6111111111104
351,28.2,0.027777777777777186,7.833333333333333,2442.444444444444
352,28.1,-0.027777777777777186,7.805555555555555,2450.2499999999995
353,28.0,-0.027777777777778172,7.777777777777778,2458.0277777777774
354,27.9,-0.027777777777778172,7.749999999999999,2465.7777777777774
355,27.9,0.0,7.749999999999999,2473.5277777777774
356,28.1,0.055555555555556344,7.805555555555555,2481.333333333333
357,28.2,0.027777777777777186,7.833333333333333,2489.1666666666665
358,28.0,-0.05555555555555536,7.777777777777778,2496.9444444444443
359,26.9,-0.30555555555555597,7.472222222222221,2504.4166666666665
360,25.0,-0.5277777777777773,6.944444444444445,2511.361111111111
361,23.2,-0.5000000000000002,6.444444444444444,2517.805555555555
362,21.9,-0.3611111111111113,6.083333333333333,2523.8888888888887
363,21.1,-0.22222222222222143,5.861111111111112,2529.75
364,20.7,-0.1111111111111117,5.75,2535.5
365,20.7,0.0,5.75,2541.25
366,20.8,0.027777777777778172,5.777777777777778,2547.027777777778
367,21.2,0.11111111111111072,5.888888888888888,2552.9166666666665
368,22.1,0.2500000000000006,6.138888888888889,2559.055555555555
369,23.5,0.3888888888888885,6.527777777777778,2565.583333333333
370,24.3,0.2222222222222224,6.75,2572.333333333333
371,24.5,0.05555555555555536,6.805555555555555,2579.1388888888887
372,23.8,-0.19444444444444425,6.611111111111111,2585.75
373,21.3,-0.6944444444444444,5.916666666666667,2591.6666666666665
374,17.7,-1.0000000000000004,4.916666666666666,2596.583333333333
375,14.4,-0.9166666666666663,4.0,2600.583333333333
376,11.9,-0.6944444444444444,3.3055555555555554,2603.8888888888887
377,10.2,-0.4722222222222225,2.833333333333333,2606.722222222222
378,8.9,-0.3611111111111108,2.4722222222222223,2609.1944444444443
379,8.0,-0.2500000000000001,2.2222222222222223,2611.4166666666665
380,7.2,-0.22222222222222215,2.0,2613.4166666666665
381,6.1,-0.3055555555555557,1.6944444444444442,2615.111111111111
382,4.9,-0.33333333333333315,1.3611111111111112,2616.472222222222
383,3.7,-0.33333333333333337,1.027777777777778,2617.5
384,2.3,-0.38888888888888895,0.6388888888888888,2618.1388888888887
385,0.9,-0.38888888888888884,0.25,2618.3888888888887
386,0.0,-0.25,0.0,2618.3888888888887
387,0.0,0.0,0.0,2618.3888888888887
388,0.0,0.0,0.0,2618.3888888888887
389,0.0,0.0,0.0,2618.3888888888887
390,0.0,0.0,0.0,2618.3888888888887
391,0.0,0.0,0.0,2618.3888888888887
392,0.5,0.1388888888888889,0.1388888888888889,2618.5277777777774
393,2.1,0.4444444444444445,0.5833333333333334,2619.111111111111
394,4.8,0.7499999999999999,1.3333333333333333,2620.4444444444443
395,8.3,0.9722222222222224,2.305555555555556,2622.75
396,12.3,1.1111111111111112,3.416666666666667,2626.1666666666665
397,16.6,1.1944444444444446,4.611111111111112,2630.777777777778
398,20.9,1.1944444444444435,5.805555555555555,2636.5833333333335
399,24.2,0.9166666666666669,6.722222222222221,2643.3055555555557
400,25.6,0.38888888888888945,7.111111111111112,2650.416666666667
401,25.6,0.0,7.111111111111112,2657.5277777777783
402,24.9,-0.19444444444444522,6.916666666666666,2664.444444444445
403,23.3,-0.44444444444444386,6.472222222222222,2670.916666666667
404,21.6,-0.472222222222222,6.0,2676.916666666667
405,20.2,-0.38888888888888945,5.611111111111111,2682.5277777777783
